"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Bolivia","BOL","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","91.5561","91.084","92.41258","94.70135","96.71023","101.32152","103.14702","99.37751","99.46586","100.18944","98.66771","99.66436","","102.34383","108.79077","","108.59121","115.72023","","104.22722","105.98836","","","","","","112.25325","112.8117","112.85541","113.62506","114.69045","112.95927","114.40968","112.30992","112.35836","","109.22832","108.86241","107.73499","103.95453","100.10669","","","",
"Brazil","BRA","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","119.52416","123.54516","121.52353","123.06378","123.0384","122.79953","119.06788","124.19323","128.99294","135.53428","137.14658","134.46266","138.12285","132.7613","138.45555","133.88606","","129.67829","135.90773","130.30152","141.46331","130.46127","131.07742","132.52897","137.51257","","","148.02292","","154.53839","150.73619","148.50034","146.37271","142.22964","141.02162","136.66269","","","","","","","","",
"Barbados","BRB","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","102.49093","100.39907","101.4536","98.75829","104.96572","108.15326","115.86106","118.30151","117.69357","103.97303","100.80914","100.71122","102.09322","108.27845","111.05343","","","","121.03756","115.53359","","106.86601","","","","","","","102.61589","101.60661","100.49365","97.597","97.19051","95.39007","96.94553","100.34848","103.87269","109.24173","114.05701","120.07313","125.5312","","",
"Brunei Darussalam","BRN","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","138.02796","139.83234","140.1811","138.7376","138.08946","135.09063","136.46788","138.0452","135.07008","115.15734","110.14331","107.64238","102.47437","101.93157","103.74875","102.64764","108.39097","107.82484","111.80608","117.47267","","115.48707","117.09198","119.08057","119.25855","116.54558","114.88814","112.81839","115.48389","115.52637","114.47146","111.43201","112.28922","116.06345","117.12626","116.92417","117.4016","116.81362","113.71368","111.02525","107.95732","105.06265","","",
"Bhutan","BTN","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","19.47515","19.47043","20.91695","","24.19401","","29.40004","31.90054","31.96522","35.66109","45.63131","50.57126","52.75748","56.17685","57.94171","57.39373","52.4934","52.93578","54.54743","","","","49.97618","55.69967","59.11479","","","","72.90715","74.59123","77.38239","80.33005","83.71961","","","95.69342","100.22354","","106.57961","109.72418","111.14703","111.36899","110.36641","",
"Botswana","BWA","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","59.86484","55.20624","55.96853","61.65102","64.91716","70.52378","73.7101","77.85749","79.64247","82.81783","87.79768","91.0982","92.2243","94.14021","95.78324","98.17832","99.66502","101.12865","102.33968","104.1649","103.85544","106.17179","104.33058","103.4449","103.26791","102.14287","102.80676","103.36159","102.7137","103.0815","103.95485","105.61832","106.28827","106.52892","106.47757","107.20459","108.09033","107.73402","108.25027","110.11702","","","","",
"Sub-Saharan Africa (IFC classification)","CAA","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","64.87533","63.59386","67.38009","67.75636","71.14394","71.38615","73.67369","72.97213","71.629","70.50065","69.48081","71.08794","71.97962","75.03901","77.10226","75.62657","64.89398","65.76779","66.3352","70.15991","65.06011","56.98585","","","","","","","","","78.46356","69.26686","68.80522","59.19793","65.94941","65.75178","76.2354","88.31882","90.4268","93.4064","94.11493","","",
"Canada","CAN","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","99.8141","98.04195","96.49844","95.86248","97.39994","98.1339","99.01917","99.66648","99.69442","99.60926","99.16908","104.75608","104.09176","103.50262","103.24536","103.52917","103.49344","103.5358","103.76392","103.73091","103.84429","103.04635","102.07131","101.29735","101.23723","102.26588","","99.40922","99.75704","100.14534","","","","97.78041","96.94191","98.83543","99.24322","98.65323","100.03097","","","","",
"East Asia and the Pacific (IFC classification)","CEA","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe and Central Asia (IFC classification)","CEU","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","93.30318","92.70182","92.07008","91.38926","82.92988","83.90925","82.9524","82.39211","82.31107","82.28923","81.73182","81.28526","81.10939","81.45908","82.60301","84.4647","86.98344","89.44568","90.77013","91.04998","95.38754","94.33373","95.82647","97.85059","","105.12132","105.60076","106.41256","105.32889","104.29184","103.63332","102.93767","101.96709","101.80833","101.59229","101.94518","102.36379","102.66636","103.31412","","",
"Channel Islands","CHI","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","112.89536","118.94263","119.94317","121.63708","123.16685","122.61094","120.92447","120.80968","120.4043","120.18662","116.76373","114.23723","112.4588","111.90595","110.0337","112.10866","111.87515","","108.13123","106.84542","105.36517","103.18148","98.71536","97.75704","","","","","99.71011","100.69947","100.29863","","98.92059","98.21621","102.98432","103.748","104.91504","106.41069","107.07694","105.71991","102.55692","101.81702","","",
